F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,T
729,0,-729,0,405,486,-675,-459,54,-378,255,18,1,2
3,9,-9,3,9,9,3,0,9,6,0,-9,1,15
12,0,9,6,-9,9,6,9,-9,3,9,-9,1,167
-81,81,81,81,-81,-81,81,36,-36,-75,78,0,1,173
3,-9,9,12,-9,-9,-12,-9,9,9,-9,0,1,167
3,-9,0,0,9,0,6,-9,9,0,9,9,1,167
9,27,-27,27,27,18,-12,36,27,27,27,-12,1,47
-3,0,0,0,-3,0,0,3,0,-3,0,-3,1,15
9,0,0,9,9,-9,0,0,-12,9,9,-9,1,18
-9,0,-9,-9,9,-9,12,0,0,-3,12,6,1,11
3,0,0,0,0,0,0,0,0,0,0,3,1,212
12,0,9,-6,0,9,6,-9,9,-9,-9,9,1,116
-9,0,0,-9,-9,0,-3,-9,-9,-6,0,9,1,119
12,0,0,6,9,9,12,9,9,12,9,-9,1,167
-99,54,-54,-27,-108,-54,120,-99,18,-9,-36,-81,1,71
-12,0,-9,-12,-9,0,12,-9,-9,-9,6,-9,1,121
-81,0,0,-54,81,0,-27,108,-54,99,-27,117,1,119
-18,27,-27,36,0,27,-33,-36,27,33,-9,36,1,34
-72,-54,-81,-63,9,27,-39,99,-72,6,-33,45,1,18
3,9,0,-12,9,-9,-3,9,9,-3,0,9,1,167
18,0,-27,-9,0,27,6,-36,36,18,-36,-27,1,170
12,-9,9,-12,9,-9,-6,0,0,-12,-9,0,1,167
-12,-9,-9,-12,0,9,-9,-9,0,-9,-3,-9,1,167
6,9,9,6,0,-9,3,-9,-9,-3,-12,-6,1,121
-3,0,0,0,0,0,3,0,0,0,-3,0,1,35
12,-9,-9,12,-9,9,-12,0,-9,3,9,0,1,116
-18,-27,-27,27,27,36,36,-9,9,0,-36,-21,1,172
36,-27,0,9,0,0,-27,-18,27,3,-18,-36,1,130
-18,27,-27,27,0,18,-27,36,27,-24,-27,27,1,47
81,0,0,0,0,81,-18,54,36,-57,-117,120,1,46
3,9,9,0,9,-9,-12,-9,9,0,-9,-9,1,167
-9,-27,0,36,-27,0,3,36,-36,-24,18,9,1,170
-3,0,0,-3,0,-3,3,-3,0,3,0,3,1,84
324,0,-162,-135,243,162,-99,-81,-108,264,-135,132,1,73
-3,0,0,-3,0,0,0,0,3,-3,-3,0,1,42
-12,9,0,6,0,-9,-12,-9,12,-6,-9,-6,1,42
-3,-9,9,-12,9,9,12,-9,0,0,-9,0,1,38
12,9,-9,-12,-9,0,0,-9,9,9,12,0,1,121
-3,-9,9,6,9,9,0,-9,9,6,6,0,1,167
12,0,9,-6,0,9,9,-9,0,-9,-9,9,1,167
-3,0,3,0,3,0,3,3,0,0,0,3,1,35
-3,0,-3,0,3,-3,3,0,0,0,-3,0,1,36
12,0,0,-9,-9,-9,-3,0,0,6,0,0,1,167
324,-243,324,270,0,-108,72,-189,-9,42,-144,54,1,131
-81,81,-81,-27,-108,0,-54,-54,-90,-36,-63,33,1,11
36,27,-27,27,27,-27,-30,27,-36,0,-18,27,1,70
-6,0,9,3,9,9,0,-9,-9,6,9,-9,1,167
-81,-243,243,270,162,243,297,297,243,171,0,36,1,170
-81,81,-81,-81,27,-108,-81,45,-45,105,108,12,1,119
-3,0,-9,0,0,0,-12,-9,9,9,9,9,1,13
